AnCai_BecchettiGreenlees,ℓ2,η1,η2,χ^2,,Bojowald_BecchettiGreenlees,ℓ2,η1,η2,χ^2,,DaehnickNR_BecchettiGreenlees,ℓ2,η1,η2,χ^2,,DaehnickR_BecchettiGreenlees,ℓ2,η1,η2,χ^2,,HanShiShen_BecchettiGreenlees,ℓ2,η1,η2,χ^2,,LohrHaeberli_BecchettiGreenlees,ℓ2,η1,η2,χ^2,,PereyPerey_BecchettiGreenlees,ℓ2,η1,η2,χ^2,
0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,
0,2,1.96263472,0.18538514,89.71677780,,0,2,2.46599345,0.11860784,177.63047028,,0,2,1.96517060,0.19392010,90.24837494,,0,2,2.02331306,0.17792716,102.27162933,,0,2,2.10932700,0.09823800,213.33622742,,0,2,1.67134700,0.25009300,36.37255287,,0,2,2.22117657,0.13640304,104.93389893,
0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,
1,2,-1.00000000,-1.00000000,-1.00000000,,1,2,-1.00000000,-1.00000000,-1.00000000,,1,2,-1.00000000,-1.00000000,-1.00000000,,1,2,-1.00000000,-1.00000000,-1.00000000,,1,2,-1.00000000,-1.00000000,-1.00000000,,1,2,-1.00000000,-1.00000000,-1.00000000,,1,2,-1.00000000,-1.00000000,-1.00000000,
1,3,-1.00000000,-1.00000000,-1.00000000,,1,3,-1.00000000,-1.00000000,-1.00000000,,1,3,-1.00000000,-1.00000000,-1.00000000,,1,3,-1.00000000,-1.00000000,-1.00000000,,1,3,-1.00000000,-1.00000000,-1.00000000,,1,3,-1.00000000,-1.00000000,-1.00000000,,1,3,-1.00000000,-1.00000000,-1.00000000,
2,3,-1.00000000,-1.00000000,-1.00000000,,2,3,-1.00000000,-1.00000000,-1.00000000,,2,3,-1.00000000,-1.00000000,-1.00000000,,2,3,-1.00000000,-1.00000000,-1.00000000,,2,3,-1.00000000,-1.00000000,-1.00000000,,2,3,-1.00000000,-1.00000000,-1.00000000,,2,3,-1.00000000,-1.00000000,-1.00000000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnCai_KoningDelaroche,ℓ2,η1,η2,χ^2,,Bojowald_KoningDelaroche,ℓ2,η1,η2,χ^2,,DaehnickNR_KoningDelaroche,ℓ2,η1,η2,χ^2,,DaehnickR_KoningDelaroche,ℓ2,η1,η2,χ^2,,HanShiShen_KoningDelaroche,ℓ2,η1,η2,χ^2,,LohrHaeberli_KoningDelaroche,ℓ2,η1,η2,χ^2,,PereyPerey_KoningDelaroche,ℓ2,η1,η2,χ^2,
0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,,0,1,-1.00000000,-1.00000000,-1.00000000,
0,2,1.83858030,0.13679810,69.89579773,,0,2,2.43819000,0.04096229,155.22504425,,0,2,1.84708060,0.14399420,73.13491440,,0,2,1.91161270,0.12577230,84.74620819,,0,2,2.07539630,0.03159227,198.63489532,,0,2,1.50763415,0.21299409,24.71838379,,0,2,2.08561823,0.08284945,79.59385681,
0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,,0,3,-1.00000000,-1.00000000,-1.00000000,
